"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 17:35:00 GMT 2025","Wed Aug 27 17:35:02 GMT 2025","2338","firefox","tickets/tickets.spec.ts","","","","@tickets : Verify search ticket",""
"passed","Wed Aug 27 17:34:55 GMT 2025","Wed Aug 27 17:34:57 GMT 2025","2103","chromium","tickets/tickets.spec.ts","","","","@tickets : Verify search ticket",""
"passed","Wed Aug 27 17:34:58 GMT 2025","Wed Aug 27 17:34:59 GMT 2025","1794","firefox","login/login.spec.ts","","","","@login : Verify valid user login",""
"passed","Wed Aug 27 17:34:54 GMT 2025","Wed Aug 27 17:34:55 GMT 2025","1026","chromium","login/login.spec.ts","","","","@login : Verify valid user login",""
"passed","Wed Aug 27 17:34:40 GMT 2025","Wed Aug 27 17:34:44 GMT 2025","4461","setup","auth.setup.ts","","","","authenticate",""
"passed","Wed Aug 27 17:34:46 GMT 2025","Wed Aug 27 17:34:50 GMT 2025","3978","webkit","login/login.spec.ts","","","","@login : Verify valid user login",""
"passed","Wed Aug 27 17:34:51 GMT 2025","Wed Aug 27 17:34:53 GMT 2025","2630","webkit","tickets/tickets.spec.ts","","","","@tickets : Verify search ticket",""
